S1 S1.x S1.y S1.lon S1.lat S2 S2.x S2.y S2.lon S2.lat dist.h alpha label 
216 708000.643632 6158410.654464 3.097230 42.525400 147 726064.988560 6151627.662599 3.316430 42.464000 19295.842462 110.580685 E 
216 708000.643632 6158410.654464 3.097230 42.525400 306 726909.024187 6169963.088770 3.327600 42.628800 22158.194728 58.576363 NE 
216 708000.643632 6158410.654464 3.097230 42.525400 21 728461.965055 6135984.122638 3.344700 42.323300 30358.112658 137.623576 SE 
216 708000.643632 6158410.654464 3.097230 42.525400 2617 728265.969744 6241546.101622 3.347960 43.272500 85569.772798 13.699407 N 
216 708000.643632 6158410.654464 3.097230 42.525400 1632 729462.868740 6225876.126050 3.361810 43.131500 70797.012388 17.646992 N 
216 708000.643632 6158410.654464 3.097230 42.525400 273 730885.818066 6161426.968335 3.375520 42.551900 23083.096808 82.491575 E 
216 708000.643632 6158410.654464 3.097230 42.525400 1916 730862.180665 6234287.580430 3.379490 43.207100 79246.184575 16.767429 N 
216 708000.643632 6158410.654464 3.097230 42.525400 23 733401.875882 6129598.580932 3.404130 42.265700 38410.391575 138.600031 SE 
216 708000.643632 6158410.654464 3.097230 42.525400 915 734930.623880 6204610.905852 3.427540 42.940000 53476.041968 30.237774 NE 
216 708000.643632 6158410.654464 3.097230 42.525400 725 735553.699342 6196207.483894 3.434600 42.864400 46773.616430 36.091224 NE 
216 708000.643632 6158410.654464 3.097230 42.525400 412 737739.280231 6172519.706130 3.459630 42.651300 32915.829713 64.618698 NE 
216 708000.643632 6158410.654464 3.097230 42.525400 1184 739115.971672 6210317.018891 3.479190 42.991100 60518.049433 30.940627 NE 
216 708000.643632 6158410.654464 3.097230 42.525400 1279 739093.725502 6221502.431991 3.479750 43.091700 70337.416300 26.235140 NE 
216 708000.643632 6158410.654464 3.097230 42.525400 490 739367.244445 6183095.522969 3.480240 42.746300 39914.989412 51.797983 NE 
216 708000.643632 6158410.654464 3.097230 42.525400 188 741624.669733 6160741.617736 3.506030 42.545200 33704.725500 86.034353 E 
216 708000.643632 6158410.654464 3.097230 42.525400 2589 743577.001741 6241220.524692 3.536410 43.268800 90128.529687 23.249083 NE 
216 708000.643632 6158410.654464 3.097230 42.525400 418 747691.587758 6176244.635625 3.581170 42.684200 43513.468371 65.804608 NE 
216 708000.643632 6158410.654464 3.097230 42.525400 837 747994.782641 6204872.788781 3.587460 42.941600 61304.657902 40.721539 NE 
216 708000.643632 6158410.654464 3.097230 42.525400 120 749038.350925 6146275.578414 3.594830 42.414700 42794.316101 106.473239 E 
216 708000.643632 6158410.654464 3.097230 42.525400 2834 750396.412469 6252264.684880 3.621420 43.367700 102985.339932 24.309659 NE 
216 708000.643632 6158410.654464 3.097230 42.525400 542 750994.975251 6185267.584176 3.622290 42.765100 50693.266071 58.008541 NE 
216 708000.643632 6158410.654464 3.097230 42.525400 1256 751106.915824 6217828.526737 3.626810 43.057900 73407.317399 35.960004 NE 
216 708000.643632 6158410.654464 3.097230 42.525400 671 751554.683313 6198305.960124 3.630390 42.882300 59064.285201 47.510455 NE 
216 708000.643632 6158410.654464 3.097230 42.525400 2342 753523.489448 6241796.068579 3.658900 43.273300 95002.404066 28.631581 NE 
216 708000.643632 6158410.654464 3.097230 42.525400 1661 754144.470038 6232407.164276 3.665570 43.188800 87205.138494 31.947443 NE 
216 708000.643632 6158410.654464 3.097230 42.525400 64 755959.359379 6133714.261120 3.677470 42.301300 53943.954807 117.246253 SE 
216 708000.643632 6158410.654464 3.097230 42.525400 550 756796.602093 6189152.861213 3.693500 42.799600 57672.600409 57.788439 NE 
216 708000.643632 6158410.654464 3.097230 42.525400 341 757790.836902 6177683.793187 3.704390 42.696400 53390.235269 68.839225 E 
216 708000.643632 6158410.654464 3.097230 42.525400 154 758057.853574 6152368.556229 3.704890 42.468800 50420.543614 96.882526 E 
216 708000.643632 6158410.654464 3.097230 42.525400 2749 757203.645585 6249509.458013 3.705050 43.342400 103537.082291 28.373744 NE 
216 708000.643632 6158410.654464 3.097230 42.525400 1599 759253.405429 6225625.792782 3.727600 43.127400 84526.447998 37.326177 NE 
216 708000.643632 6158410.654464 3.097230 42.525400 185 760002.362116 6160863.145186 3.729450 42.545000 52059.518208 87.299833 E 
216 708000.643632 6158410.654464 3.097230 42.525400 1174 761668.971344 6208169.323465 3.755210 42.970200 73186.163584 47.164815 NE 
216 708000.643632 6158410.654464 3.097230 42.525400 1267 762777.762744 6220244.484321 3.770230 43.078700 82607.235113 41.536969 NE 
216 708000.643632 6158410.654464 3.097230 42.525400 677 764725.671911 6197001.083732 3.791270 42.869500 68607.215833 55.772275 NE 
216 708000.643632 6158410.654464 3.097230 42.525400 2801 765721.900873 6254071.074046 3.810610 43.382700 111725.822495 31.106676 NE 
216 708000.643632 6158410.654464 3.097230 42.525400 184 768438.121964 6161358.153974 3.832060 42.548700 60509.309535 87.207931 E 
216 708000.643632 6158410.654464 3.097230 42.525400 2074 768375.231193 6238824.357689 3.841330 43.245300 100555.728278 36.899212 NE 
216 708000.643632 6158410.654464 3.097230 42.525400 316 769173.118810 6169108.180285 3.842000 42.618300 62100.795310 80.080714 E 
216 708000.643632 6158410.654464 3.097230 42.525400 156 769992.506456 6153743.189306 3.849960 42.480100 62167.324918 94.305766 E 
216 708000.643632 6158410.654464 3.097230 42.525400 3677 769860.744877 6266275.605202 3.863300 43.492100 124344.359437 29.834092 NE 
216 708000.643632 6158410.654464 3.097230 42.525400 3106 772321.232353 6261389.885647 3.893020 43.447900 121416.062316 31.988804 NE 
216 708000.643632 6158410.654464 3.097230 42.525400 2699 772805.107215 6249956.797906 3.897390 43.345000 112162.002833 35.294239 NE 
216 708000.643632 6158410.654464 3.097230 42.525400 1593 774457.398981 6229408.478079 3.914820 43.160000 97248.091445 43.107815 NE 
216 708000.643632 6158410.654464 3.097230 42.525400 116 777151.673712 6145123.945486 3.935650 42.401900 70415.918631 100.876285 E 
216 708000.643632 6158410.654464 3.097230 42.525400 68 777755.203596 6128796.768025 3.940610 42.255100 75780.478395 113.003363 SE 
216 708000.643632 6158410.654464 3.097230 42.525400 2362 777130.328091 6243904.206452 3.949800 43.290100 109945.717083 38.958841 NE 
216 708000.643632 6158410.654464 3.097230 42.525400 317 779278.496027 6166587.459280 3.964620 42.594600 71745.330016 83.455789 E 
216 708000.643632 6158410.654464 3.097230 42.525400 1824 778988.380373 6236655.972863 3.971580 43.224700 105648.419860 42.215755 NE 
216 708000.643632 6158410.654464 3.097230 42.525400 684 780437.605999 6202382.241798 3.984150 42.916300 84738.503702 58.740890 NE 
216 708000.643632 6158410.654464 3.097230 42.525400 88 782125.616523 6139988.731410 3.995180 42.355200 76379.832778 103.956686 E 
